med_rep,cell,Medium,Replicate,rep_medium,diameter,Circularity,meanCW,meanViability,cooX,cooY,huang,cellalive
Condition1-n3,n3__Condition1-875,Condition1,n3,n3__Condition1,17.3189225973739,0.971,373.274,255.65,1536.54,1850.339,598.105352941177,no
Condition1-n3,n3__Condition1-876,Condition1,n3,n3__Condition1,14.3000716368068,0.928,213.347,260.054,2417.642,1846.574,598.105352941177,no
Condition1-n3,n3__Condition1-877,Condition1,n3,n3__Condition1,20.15601861293,0.997,222.281,244.143,858.97,1851.961,598.105352941177,no
Condition1-n3,n3__Condition1-878,Condition1,n3,n3__Condition1,16.4206520985632,0.981,227.54,276.44,1973.814,1854.395,598.105352941177,no
Condition1-n3,n3__Condition1-879,Condition1,n3,n3__Condition1,23.0405428015275,0.98,157.658,249.118,2327.039,1857.153,598.105352941177,no
Condition1-n3,n3__Condition1-88,Condition1,n3,n3__Condition1,18.015384628344,0.874,452.512,256.259,2161.505,167.405,598.105352941177,no
Condition1-n3,n3__Condition1-880,Condition1,n3,n3__Condition1,18.0351198412874,0.996,174.099,1598.293,1608.256,1856.829,598.105352941177,yes
Condition1-n3,n3__Condition1-881,Condition1,n3,n3__Condition1,12.1989080781076,0.962,1127.019,246.925,1159.139,1856.504,598.105352941177,no
Condition1-n3,n3__Condition1-882,Condition1,n3,n3__Condition1,11.6924770491892,0.969,465.243,266.251,1799.372,1858.051,598.105352941177,no
Condition1-n3,n3__Condition1-883,Condition1,n3,n3__Condition1,22.7161850275062,0.997,1823.409,276.414,2200.319,1868.673,598.105352941177,no
Condition1-n3,n3__Condition1-884,Condition1,n3,n3__Condition1,26.0597120719808,0.983,144.276,257.046,1882.465,1874.028,598.105352941177,no
Condition1-n3,n3__Condition1-885,Condition1,n3,n3__Condition1,12.5430010650723,0.982,844.247,253.993,1156.218,1867.213,598.105352941177,no
Condition1-n3,n3__Condition1-886,Condition1,n3,n3__Condition1,17.2043310383477,0.986,479.154,246.412,1280.18,1871.756,598.105352941177,no
Condition1-n3,n3__Condition1-887,Condition1,n3,n3__Condition1,18.9808185131394,0.978,1898.39,276.686,413.097,1873.703,598.105352941177,no
Condition1-n3,n3__Condition1-888,Condition1,n3,n3__Condition1,15.2457703086588,1.001,234.687,247.611,2422.282,1874.514,598.105352941177,no
Condition1-n3,n3__Condition1-889,Condition1,n3,n3__Condition1,18.1500297101997,0.995,253.354,250.758,384.281,1878.116,598.105352941177,no
Condition1-n3,n3__Condition1-89,Condition1,n3,n3__Condition1,20.4329482139099,1.008,228.746,244.506,1110.787,168.744,598.105352941177,no
Condition1-n3,n3__Condition1-890,Condition1,n3,n3__Condition1,16.4206520985632,0.992,151.433,1476.543,988.448,1882.465,598.105352941177,yes
Condition1-n3,n3__Condition1-891,Condition1,n3,n3__Condition1,17.2043310383477,1.009,165.197,637.899,2239.098,1883.763,598.105352941177,yes
Condition1-n3,n3__Condition1-892,Condition1,n3,n3__Condition1,17.041992996394,1.006,241.347,246.139,2473.392,1883.438,598.105352941177,no
Condition1-n3,n3__Condition1-893,Condition1,n3,n3__Condition1,15.9817027655158,0.993,604.292,252.894,1663.747,1882.789,598.105352941177,no
Condition1-n3,n3__Condition1-894,Condition1,n3,n3__Condition1,14.0903054218117,0.997,915.696,269.1,1957.426,1885.71,598.105352941177,no
Condition1-n3,n3__Condition1-895,Condition1,n3,n3__Condition1,13.3066264820272,0.987,513.564,274.451,1749.742,1887.008,598.105352941177,no
Condition1-n3,n3__Condition1-896,Condition1,n3,n3__Condition1,19.3726579830317,0.996,687.406,245.013,170.691,1890.253,598.105352941177,no
Condition1-n3,n3__Condition1-897,Condition1,n3,n3__Condition1,14.5295730647453,0.97,309.191,255.709,453.466,1887.592,598.105352941177,no
